,t,Date,USDCAD(t),USDMXN(t),USDJPY(t),S&P500(t),USDCAD(t-1),USDMXN(t-1),USDJPY(t-1),S&P500(t-1),USDCAD(t-2),USDMXN(t-2),USDJPY(t-2),S&P500(t-2),USDCAD(t-3),USDMXN(t-3),USDJPY(t-3),S&P500(t-3),Y(t)
0,1,2021-01-29,1.28309,20.252251,104.291,3714.23999,1.2816,20.331529999999997,104.14299799999999,3787.3798829999996,1.26939,19.9883,103.602997,3750.7700200000004,1.27375,20.105169,103.760002,3849.6201170000004,104.685997
1,2,2021-01-28,1.2816,20.331529999999997,104.14299799999999,3787.3798829999996,1.26939,19.9883,103.602997,3750.7700200000004,1.27375,20.105169,103.760002,3849.6201170000004,1.27229,19.942881,103.777,3855.360107,104.291
2,3,2021-01-27,1.26939,19.9883,103.602997,3750.7700200000004,1.27375,20.105169,103.760002,3849.6201170000004,1.27229,19.942881,103.777,3855.360107,1.2646700000000002,19.737060999999997,103.505997,3841.469971,104.14299799999999
3,4,2021-01-26,1.27375,20.105169,103.760002,3849.6201170000004,1.27229,19.942881,103.777,3855.360107,1.2646700000000002,19.737060999999997,103.505997,3841.469971,1.2626,19.585010999999998,103.555,3853.070068,103.602997
4,5,2021-01-25,1.27229,19.942881,103.777,3855.360107,1.2646700000000002,19.737060999999997,103.505997,3841.469971,1.2626,19.585010999999998,103.555,3853.070068,1.27227,19.636,103.897003,3851.850098,103.760002
5,6,2021-01-22,1.2646700000000002,19.737060999999997,103.505997,3841.469971,1.2626,19.585010999999998,103.555,3853.070068,1.27227,19.636,103.897003,3851.850098,1.2748,19.69565,103.70300300000001,3798.9099119999996,103.777
6,7,2021-01-21,1.2626,19.585010999999998,103.555,3853.070068,1.27227,19.636,103.897003,3851.850098,1.2748,19.69565,103.70300300000001,3798.9099119999996,1.2647700000000002,19.723351,103.82800300000001,3768.25,103.505997
7,8,2021-01-20,1.27227,19.636,103.897003,3851.850098,1.2748,19.69565,103.70300300000001,3798.9099119999996,1.2647700000000002,19.723351,103.82800300000001,3768.25,1.26981,19.836349,103.836998,3795.540039,103.555
8,9,2021-01-19,1.2748,19.69565,103.70300300000001,3798.9099119999996,1.2647700000000002,19.723351,103.82800300000001,3768.25,1.26981,19.836349,103.836998,3795.540039,1.2707700000000002,19.79443,103.751999,3809.8400880000004,103.897003
9,10,2021-01-15,1.2647700000000002,19.723351,103.82800300000001,3768.25,1.26981,19.836349,103.836998,3795.540039,1.2707700000000002,19.79443,103.751999,3809.8400880000004,1.27714,20.062401,104.127998,3801.1899409999996,103.70300300000001
10,11,2021-01-14,1.26981,19.836349,103.836998,3795.540039,1.2707700000000002,19.79443,103.751999,3809.8400880000004,1.27714,20.062401,104.127998,3801.1899409999996,1.27308,20.050489000000002,104.091003,3799.610107,103.82800300000001
11,12,2021-01-13,1.2707700000000002,19.79443,103.751999,3809.8400880000004,1.27714,20.062401,104.127998,3801.1899409999996,1.27308,20.050489000000002,104.091003,3799.610107,1.2683799999999998,20.000099,103.790001,3824.679932,103.836998
12,13,2021-01-12,1.27714,20.062401,104.127998,3801.1899409999996,1.27308,20.050489000000002,104.091003,3799.610107,1.2683799999999998,20.000099,103.790001,3824.679932,1.26654,19.655769,103.024002,3803.790039,103.751999
13,14,2021-01-11,1.27308,20.050489000000002,104.091003,3799.610107,1.2683799999999998,20.000099,103.790001,3824.679932,1.26654,19.655769,103.024002,3803.790039,1.26747,19.902201,102.678001,3748.139893,104.127998
14,15,2021-01-08,1.2683799999999998,20.000099,103.790001,3824.679932,1.26654,19.655769,103.024002,3803.790039,1.26747,19.902201,102.678001,3748.139893,1.2781,19.94245,103.125,3726.860107,104.091003
15,16,2021-01-07,1.26654,19.655769,103.024002,3803.790039,1.26747,19.902201,102.678001,3748.139893,1.2781,19.94245,103.125,3726.860107,1.27221,19.8475,103.238998,3700.649902,103.790001
16,17,2021-01-06,1.26747,19.902201,102.678001,3748.139893,1.2781,19.94245,103.125,3726.860107,1.27221,19.8475,103.238998,3700.649902,1.2750700000000001,19.8909,103.121002,3756.070068,103.024002
17,18,2021-01-05,1.2781,19.94245,103.125,3726.860107,1.27221,19.8475,103.238998,3700.649902,1.2750700000000001,19.8909,103.121002,3756.070068,1.28221,19.934998999999998,103.558998,3732.040039,102.678001
18,19,2021-01-04,1.27221,19.8475,103.238998,3700.649902,1.2750700000000001,19.8909,103.121002,3756.070068,1.28221,19.934998999999998,103.558998,3732.040039,1.284,20.00625,103.689003,3727.040039,103.125
19,20,2020-12-31,1.2750700000000001,19.8909,103.121002,3756.070068,1.28221,19.934998999999998,103.558998,3732.040039,1.284,20.00625,103.689003,3727.040039,1.28396,19.86968,103.532997,3735.360107,103.238998
20,21,2020-12-30,1.28221,19.934998999999998,103.558998,3732.040039,1.284,20.00625,103.689003,3727.040039,1.28396,19.86968,103.532997,3735.360107,1.28455,20.048901,103.552002,3703.0600590000004,103.121002
